tweet_id,timestamp,likes,retweet_count
877316821321428993,Wed Jun 21 00:06:44 +0000 2017,24196,4356
877201837425926144,Tue Jun 20 16:29:50 +0000 2017,23902,4642
876838120628539392,Mon Jun 19 16:24:33 +0000 2017,18248,2808
876537666061221889,Sun Jun 18 20:30:39 +0000 2017,21082,3983
876484053909872640,Sun Jun 18 16:57:37 +0000 2017,16591,2006
876120275196170240,Sat Jun 17 16:52:05 +0000 2017,24724,3912
875747767867523072,Fri Jun 16 16:11:53 +0000 2017,22142,3592
875144289856114688,Thu Jun 15 00:13:52 +0000 2017,19438,4164
875097192612077568,Wed Jun 14 21:06:43 +0000 2017,24276,5129
875021211251597312,Wed Jun 14 16:04:48 +0000 2017,22577,3986
874680097055178752,Tue Jun 13 17:29:20 +0000 2017,24645,3928
874434818259525634,Tue Jun 13 01:14:41 +0000 2017,0,12245
874296783580663808,Mon Jun 12 16:06:11 +0000 2017,23002,3489
874057562936811520,Mon Jun 12 00:15:36 +0000 2017,20147,3387
874012996292530176,Sun Jun 11 21:18:31 +0000 2017,30164,8606
873580283840344065,Sat Jun 10 16:39:04 +0000 2017,21421,3347
873337748698140672,Sat Jun 10 00:35:19 +0000 2017,0,1333
873213775632977920,Fri Jun 09 16:22:42 +0000 2017,6334,1333
872967104147763200,Fri Jun 09 00:02:31 +0000 2017,24126,4570
872820683541237760,Thu Jun 08 14:20:41 +0000 2017,13088,3171
872620804844003328,Thu Jun 08 01:06:27 +0000 2017,18356,3072
872486979161796608,Wed Jun 07 16:14:40 +0000 2017,36152,7736
872122724285648897,Tue Jun 06 16:07:15 +0000 2017,30280,6844
871879754684805121,Tue Jun 06 00:01:46 +0000 2017,33157,9264
871762521631449091,Mon Jun 05 16:15:56 +0000 2017,17917,2973
871515927908634625,Sun Jun 04 23:56:03 +0000 2017,17920,2952
871166179821445120,Sun Jun 04 00:46:17 +0000 2017,0,4903
871102520638267392,Sat Jun 03 20:33:19 +0000 2017,18575,4698
871032628920680449,Sat Jun 03 15:55:36 +0000 2017,20190,3234
870804317367881728,Sat Jun 03 00:48:22 +0000 2017,29856,5294
870726314365509632,Fri Jun 02 19:38:25 +0000 2017,105,3
870656317836468226,Fri Jun 02 15:00:16 +0000 2017,10907,2215
870374049280663552,Thu Jun 01 20:18:38 +0000 2017,74058,22798
870308999962521604,Thu Jun 01 16:00:09 +0000 2017,19514,3555
870063196459192321,Wed May 31 23:43:25 +0000 2017,32473,7090
869772420881756160,Wed May 31 04:27:59 +0000 2017,38085,8710
869702957897576449,Tue May 30 23:51:58 +0000 2017,25104,5395
869596645499047938,Tue May 30 16:49:31 +0000 2017,14236,2643
869227993411051520,Mon May 29 16:24:37 +0000 2017,18168,3204
868880397819494401,Sun May 28 17:23:24 +0000 2017,58093,12282
868639477480148993,Sun May 28 01:26:04 +0000 2017,0,1759
868622495443632128,Sun May 28 00:18:35 +0000 2017,23675,4487
868552278524837888,Sat May 27 19:39:34 +0000 2017,8989,1759
867900495410671616,Fri May 26 00:29:37 +0000 2017,21637,3581
867774946302451713,Thu May 25 16:10:44 +0000 2017,30330,6264
867421006826221569,Wed May 24 16:44:18 +0000 2017,14365,2121
867072653475098625,Tue May 23 17:40:04 +0000 2017,0,101
867051520902168576,Tue May 23 16:16:06 +0000 2017,28757,6802
866720684873056260,Mon May 22 18:21:28 +0000 2017,17906,4140
866686824827068416,Mon May 22 16:06:55 +0000 2017,17164,2976
866450705531457537,Mon May 22 00:28:40 +0000 2017,108997,30285
866334964761202691,Sun May 21 16:48:45 +0000 2017,46700,12245
866094527597207552,Sun May 21 00:53:21 +0000 2017,0,7179
865718153858494464,Fri May 19 23:57:46 +0000 2017,22973,4867
865359393868664832,Fri May 19 00:12:11 +0000 2017,23648,4302
865006731092295680,Thu May 18 00:50:50 +0000 2017,25082,6688
864873206498414592,Wed May 17 16:00:15 +0000 2017,28912,7511
864279568663928832,Tue May 16 00:41:21 +0000 2017,13097,2590
864197398364647424,Mon May 15 19:14:50 +0000 2017,26692,7603
863907417377173506,Mon May 15 00:02:33 +0000 2017,18475,3601
863553081350529029,Sun May 14 00:34:33 +0000 2017,13704,3643
863471782782697472,Sat May 13 19:11:30 +0000 2017,0,2094
863432100342583297,Sat May 13 16:33:49 +0000 2017,21345,4568
863427515083354112,Sat May 13 16:15:35 +0000 2017,1961,80
863079547188785154,Fri May 12 17:12:53 +0000 2017,7918,954
863062471531167744,Fri May 12 16:05:02 +0000 2017,7541,2094
862831371563274240,Fri May 12 00:46:44 +0000 2017,17241,4468
862722525377298433,Thu May 11 17:34:13 +0000 2017,15363,3095
862457590147678208,Thu May 11 00:01:27 +0000 2017,18315,4268
862096992088072192,Wed May 10 00:08:34 +0000 2017,66425,20058
861383897657036800,Mon May 08 00:54:59 +0000 2017,32352,9288
861288531465048066,Sun May 07 18:36:02 +0000 2017,15382,3597
861005113778896900,Sat May 06 23:49:50 +0000 2017,15027,3344
860981674716409858,Sat May 06 22:16:42 +0000 2017,0,1860
860924035999428608,Sat May 06 18:27:40 +0000 2017,0,679
860563773140209665,Fri May 05 18:36:06 +0000 2017,6743,1860
860524505164394496,Fri May 05 16:00:04 +0000 2017,21306,4615
860276583193509888,Thu May 04 23:34:55 +0000 2017,16619,3083
860184849394610176,Thu May 04 17:30:24 +0000 2017,15049,5133
860177593139703809,Thu May 04 17:01:34 +0000 2017,0,26818
859924526012018688,Thu May 04 00:15:58 +0000 2017,17675,3592
859851578198683649,Wed May 03 19:26:06 +0000 2017,14001,3077
859607811541651456,Wed May 03 03:17:27 +0000 2017,16872,1369
859196978902773760,Tue May 02 00:04:57 +0000 2017,80722,26356
859074603037188101,Mon May 01 15:58:40 +0000 2017,30510,11994
